epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,287.908,0.34661,0.27153,0.84251,0.75326,0.80339,0.82327,0.59408,1.22201,1.29263,1.58065,0.000127306,0.000127306,0.000127306
168,289.581,0.34239,0.26111,0.83634,0.74844,0.81224,0.82508,0.58992,1.21477,1.27992,1.5769,0.000123772,0.000123772,0.000123772
169,291.305,0.33045,0.25775,0.84006,0.74844,0.81224,0.82508,0.58992,1.21477,1.27992,1.5769,0.000120238,0.000120238,0.000120238
170,292.993,0.34704,0.26044,0.83927,0.74176,0.82521,0.8227,0.59793,1.21486,1.26387,1.58136,0.000116703,0.000116703,0.000116703
171,294.684,0.34013,0.26983,0.83235,0.73903,0.8304,0.8203,0.58983,1.22494,1.25468,1.59457,0.000113169,0.000113169,0.000113169
172,296.361,0.33297,0.25756,0.83492,0.74338,0.82678,0.81818,0.59269,1.23267,1.25108,1.58952,0.000109635,0.000109635,0.000109635
173,297.973,0.3423,0.28791,0.85029,0.74338,0.82678,0.81818,0.59269,1.23267,1.25108,1.58952,0.0001061,0.0001061,0.0001061
174,299.655,0.34766,0.26901,0.84635,0.74874,0.82563,0.82572,0.60906,1.23615,1.23477,1.57852,0.000102566,0.000102566,0.000102566
175,301.365,0.30458,0.2426,0.84284,0.75583,0.82542,0.82767,0.60412,1.23904,1.20678,1.57449,9.90318e-05,9.90318e-05,9.90318e-05
176,303.041,0.34061,0.26086,0.83397,0.76209,0.82313,0.82756,0.59739,1.24559,1.17315,1.5762,9.54975e-05,9.54975e-05,9.54975e-05
177,304.669,0.33475,0.26389,0.8159,0.76209,0.82313,0.82756,0.59739,1.24559,1.17315,1.5762,9.19632e-05,9.19632e-05,9.19632e-05
